,yr,mth,total_rainfall,no_of_rainy_days,mean_rh,temp_mean_daily_min,number
0,2014,1,75.4,5.0,78.5,24.0,2159.0
1,2014,2,0.2,1.0,74.5,24.5,1181.0
2,2014,3,66.0,6.0,76.0,25.1,919.0
3,2014,4,110.0,17.0,80.0,25.5,1029.0
4,2014,5,125.8,18.0,80.2,25.8,2138.0
5,2014,6,71.4,11.0,77.5,26.3,2927.0
6,2014,7,148.6,15.0,78.3,25.8,2844.0
7,2014,8,241.0,20.0,79.7,25.2,1486.0
8,2014,9,83.6,9.0,75.6,25.7,1357.0
9,2014,10,120.0,10.0,77.0,25.7,1022.0
10,2014,11,250.8,23.0,82.4,24.8,700.0
11,2014,12,245.6,17.0,82.6,24.7,544.0
12,2015,1,79.6,6.0,77.6,24.6,1366.0
13,2015,2,18.8,6.0,75.4,24.4,660.0
14,2015,3,84.4,5.0,75.8,25.5,463.0
15,2015,4,73.2,13.0,77.1,25.9,524.0
16,2015,5,89.0,12.0,78.9,26.4,837.0
17,2015,6,95.8,10.0,75.8,26.6,1017.0
18,2015,7,116.8,13.0,74.9,26.7,1240.0
19,2015,8,185.8,11.0,76.7,26.0,991.0
20,2015,9,61.6,8.0,75.0,26.5,942.0
21,2015,10,87.2,9.0,75.4,26.1,1188.0
22,2015,11,72.6,13.0,79.1,25.5,1230.0
23,2015,12,302.3,19.0,81.1,25.0,824.0
24,2016,1,126.6,15.0,79.6,26.0,3366.0
25,2016,2,186.0,10.0,78.8,25.6,2273.0
26,2016,3,6.2,6.0,74.7,26.6,1187.0
27,2016,4,89.8,14.0,75.6,26.7,863.0
28,2016,5,193.8,12.0,77.4,26.5,972.0
29,2016,6,162.8,13.0,77.7,26.1,915.0
30,2016,7,168.6,20.0,77.3,25.8,1109.0
31,2016,8,139.2,15.0,74.0,26.2,991.0
32,2016,9,118.9,15.0,73.9,25.1,526.0
33,2016,10,181.0,16.0,72.0,25.2,425.0
34,2016,11,290.2,20.0,77.6,24.9,300.0
35,2016,12,292.6,23.0,72.8,24.7,134.0
36,2017,1,197.6,21.0,84.8,24.7,435.0
37,2017,2,158.4,15.0,83.2,24.7,212.0
38,2017,3,136.2,11.0,82.5,24.9,150.0
39,2017,4,208.6,21.0,83.5,25.0,176.0
40,2017,5,190.0,15.0,82.8,25.9,304.0
41,2017,6,106.0,10.0,80.2,25.9,264.0
42,2017,7,79.6,9.0,79.6,26.0,283.0
43,2017,8,84.2,18.0,79.9,25.9,177.0
44,2017,9,124.4,19.0,81.0,25.4,203.0
45,2017,10,120.8,18.0,82.5,25.3,295.0
46,2017,11,268.6,24.0,86.3,24.6,134.0
47,2017,12,371.2,23.0,85.2,24.6,117.0
48,2018,1,287.0,25.0,86.6,24.0,348.0
49,2018,2,14.8,5.0,77.2,24.8,191.0
50,2018,3,44.6,10.0,78.4,25.4,136.0
51,2018,4,61.2,14.0,78.5,25.8,247.0
52,2018,5,132.2,19.0,79.0,26.2,309.0
53,2018,6,182.6,17.0,79.3,25.6,234.0
54,2018,7,143.2,10.0,77.7,26.0,248.0
55,2018,8,121.6,11.0,77.0,26.1,265.0
56,2018,9,144.4,13.0,77.1,25.3,205.0
57,2018,10,234.4,18.0,79.7,25.2,361.0
58,2018,11,169.6,27.0,83.2,24.6,426.0
59,2018,12,172.6,19.0,81.5,25.3,287.0
